,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,LABEL
Backdoor.Graybird-3d4c37580fcfcd3162538e57ebfd65f89caf379c9158dba626690d2ac7a24154,4283.5,3799.5,3319.25,3613.0,3135.5,2681.75,3772.5,2950.25,2841.25,3027.0,3235.5,3852.25,2999.75,3706.25,3810.0,4090.25,3615.75,3917.75,1
Backdoor.Graybird-3f40d1874219ac8f6ba08b587a9547da773b0356b58e4d40f584b595740fa7a4,3850.5,2632.75,3303.5,3209.75,2686.25,2631.75,3847.25,2869.0,2945.25,3139.75,2787.25,3398.5,3137.75,3605.0,4145.5,4193.5,3137.5,4221.5,1
Backdoor.Graybird-3f4164fb248bf610709ce9546b2e1a2463d08270db94dbd7b8e42d16023a71b0,3642.5,2948.75,3303.5,3235.0,3033.0,2607.5,3813.0,3413.0,2945.25,2627.75,3025.0,3434.75,3221.0,3605.0,3812.75,4182.5,3343.5,3877.75,1
Backdoor.Graybird-3fb1f955c5fedc93b423be002cde34a6436194ec36974c890a015566749cbfc9,4204.75,3346.25,3319.25,3288.5,2678.25,3041.75,3835.5,3148.25,3213.25,4146.25,2918.5,3819.5,2706.5,3706.25,3775.25,4424.5,3203.75,3641.0,1
Backdoor.Graybird-4038529ffe618fbca7b702da5a4588bf4f827bfe34e22bedebc16bea8ac5cd5b,3614.25,3068.5,3125.5,3504.75,2678.25,3041.75,3943.5,3212.75,3801.75,4391.75,2714.5,3269.25,2706.5,3397.25,4247.25,3839.0,3197.0,3993.25,1
Backdoor.Graybird-43915d2a212d5620489fc5dbbbf17d934ab474e34a1058aa28ea2ae0160d6a7e,3752.5,3273.75,3959.5,3693.75,2661.0,2709.0,3497.25,3195.75,2841.25,3027.0,3235.5,3852.25,3111.0,3598.25,3810.0,4423.0,3641.0,3917.75,1
Backdoor.Graybird-442eb6cd344fcc9a88b1ef5a28e662ea6a9415ff012b27b75ca3b8c07af9ae61,3691.5,3769.25,3150.75,3285.5,2740.75,3507.5,3700.75,2922.5,3867.75,3385.75,2797.25,3539.5,2949.75,3538.5,4112.5,4030.25,3264.75,3877.75,1
Backdoor.Graybird-45133c62869e94f748e8f947328388b6cf1190cc750f712e25695ff4e87a8ec0,4130.5,3125.0,3134.5,3181.5,2850.75,3071.5,3705.0,3219.0,3381.5,3070.5,2662.5,3298.75,3151.75,3943.25,4247.25,3494.25,3275.75,4087.0,1
Backdoor.Graybird-4611ce9f971ce2a63d17317779aaa34aebb478c1a91c3031abf37b39a0e8a754,4179.5,3050.75,3210.75,2975.5,3447.5,3404.25,3705.0,3221.75,3654.0,3172.5,2772.5,3225.5,3626.25,3556.5,4011.25,3712.5,3205.75,3912.5,1
Backdoor.Graybird-4768fb2a55ff7a38d1c9f26c22517c25e81050233f75a43909f56cf2bab55549,3693.5,3128.5,3596.5,3532.5,3228.75,2683.75,4118.5,3624.5,3098.75,2812.5,3103.25,3328.75,3252.25,3358.5,3324.75,4182.5,3207.75,4154.5,1
