,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,LABEL
Backdoor.Graybird-34cb2e3660a417e83f902c990f20b3d0efa6e84ad20a7c769f2944cc333bc47b,0.5626987,0.12738109,0.5679037,-0.9779281,-0.6095363,0.12060026,0.43488935,0.81537586,0.91519856,-0.3119537,0.7964364,0.0250377,-0.57365507,-0.2243649,0.7732202,-0.029075617,-0.29997194,0.5544809,1.0
Backdoor.Graybird-3512ae0eba2c3f6e4e6195c0e1bd70b9a9e3b3d7708f403ed4b5e281e4a1a120,0.8457002,0.8356432,-0.2899661,0.05406276,-0.4984004,0.3221003,0.0073695253,0.7044892,1.0556431,-0.53484994,0.12777853,-1.2477367,-0.23726685,0.15280668,-0.15845221,-0.2470244,-0.3058053,0.22823212,1.0
Backdoor.Graybird-35808e06d5ab73341611da612e9a37252f07f2bc7801725569ebb49895f59a05,0.06727486,0.49626705,-0.811944,-0.04815241,-0.095795155,-0.114153504,0.4458322,0.08389274,1.2892523,-0.30136198,0.06836813,-0.4606479,0.47082466,0.043566234,0.3780732,-0.6698113,0.27957714,0.3566025,1.0
Backdoor.Graybird-365bea068bcb7c92f0dbf6868e8e6ac2d49feaae2d6464a4fbf9d4dc28ea4189,0.85725844,-0.24435665,-0.31123143,-0.37937737,0.009508383,0.2086342,0.08855784,0.4636773,1.1777539,0.19732101,-0.04180169,-0.50505763,-0.37732163,0.35911956,0.39293638,-0.1413148,0.40704232,1.0229906,1.0
Backdoor.Graybird-3796ba03a70668fe9a40cd399da7963d6dded9136682059f1443d5b493d37a83,0.7249644,-0.3178379,-0.4262754,-0.59234273,-0.09813864,0.27297938,0.20407589,0.21954381,0.64384365,0.10943175,0.073020846,-0.7381126,-0.44727883,0.10969769,0.55724293,-0.54150563,0.74200237,0.77687585,1.0
Backdoor.Graybird-3799f857d04896d9155038342c96e32490cab5ce67ddf33dab263184d95ea41b,1.3980827,0.036944687,0.12031854,-0.016728405,-1.1020957,0.67621505,0.5820508,0.2578221,1.2522324,-0.6272522,0.15007594,-0.7521967,0.03217676,0.17933309,0.27487886,-0.20649265,-0.020830918,0.5348143,1.0
Backdoor.Graybird-3920bdcebc14233421ec142268749c0cc1358bba2af6e2e561ce3ac346db2d8e,1.6463956,0.29804045,-0.18435054,-0.40023035,-1.301391,0.27619964,1.1253263,0.5969526,0.9690825,-0.61076725,0.2514904,-0.63149,-0.23211348,0.59228325,0.059473496,0.38100076,0.5690153,0.7030333,1.0
Backdoor.Graybird-3a81fabef97e62aaefc48fa799a00c00d531afda4d49a58e90161dfef215d056,0.6753091,0.80939376,0.6602662,-0.21636853,-0.38969654,0.2470628,0.30601993,0.112872794,1.2981596,0.12565157,0.0026975172,-0.7334729,-0.52853274,-0.6630965,0.31019503,-0.37281734,0.0840216,0.27041134,1.0
Backdoor.Graybird-3ac9b0f65d3a26c5fe28cad9856d7119d2088f7cab78c37aa12348ea3b3bc000,1.4260356,-0.37167463,-0.32101226,-0.6953405,-1.0711892,0.6229085,0.93942744,0.32378283,0.6920874,0.26216093,-0.9074839,-0.6060993,-0.5358189,-0.067652434,-0.66697025,-0.2694378,0.092043184,0.6866844,1.0
Backdoor.Graybird-3b6230033969a93587fc1d795bd800de9478b437d400bfaa3a1fd7ab0b082102,1.2392598,0.20923491,0.13556997,-0.4920204,-1.1602712,0.56669533,0.49123442,0.38853878,1.0400213,-0.26806238,0.23354542,-0.55016154,-0.25341734,0.08580278,-0.31876022,0.07563484,0.64664745,0.29880112,1.0
Backdoor.Graybird-3bd529df6d6af1c83eca9ff3fd494825f98908773b73ab6023b2d08e30fc9141,1.1146758,-0.3475472,0.10834535,-0.3253784,-0.7462983,0.4296797,0.09824174,0.86113685,0.92436963,-0.48153687,1.0615106,-0.0062277466,-0.8122707,0.47701684,0.9094576,-0.40165108,0.30167514,0.8990547,1.0
Backdoor.Graybird-3d4c37580fcfcd3162538e57ebfd65f89caf379c9158dba626690d2ac7a24154,1.4260895,-0.19420849,-1.0379735,-0.8721066,0.004305814,0.6357668,0.29756597,0.42984807,1.299987,-0.07395686,0.8382826,-0.503132,-1.0340911,-1.0007327,0.33016726,-0.6264763,0.4228863,0.100806914,1.0
Backdoor.Graybird-3f40d1874219ac8f6ba08b587a9547da773b0356b58e4d40f584b595740fa7a4,1.7288241,-0.37147167,0.50964755,-0.22948918,-0.65172756,1.1414403,0.12616523,0.32931915,0.6612148,-0.526513,0.7816709,0.43640015,0.36201882,0.05480536,0.7652335,-0.6952176,-0.012230176,0.8921446,1.0
Backdoor.Graybird-3f4164fb248bf610709ce9546b2e1a2463d08270db94dbd7b8e42d16023a71b0,1.5004659,0.55725366,0.34729505,-0.3779497,-1.0080136,0.64361733,0.75769234,0.4214951,1.0293585,-0.5757164,0.4437627,-0.29516065,-0.094376296,0.24933039,-0.37786824,0.16627896,0.2514223,0.22776823,1.0
Backdoor.Graybird-3fb1f955c5fedc93b423be002cde34a6436194ec36974c890a015566749cbfc9,0.79301876,0.27223447,-0.17577617,-0.67405826,-0.09838255,-0.04631119,1.2956556,-0.40506604,0.7350679,-0.17844203,0.37264565,-1.0713686,0.33661202,-0.31268328,1.304548,0.07351636,0.085859835,1.7370577,1.0
