,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,LABEL
Backdoor.Graybird-16ce6a8444870c762676cc776860c1ff7daa2a2dc76abd29136a36d6538bba8a,-0.25572243,-0.89297044,-0.14783937,0.25991723,-0.005549067,-0.32817826,-0.5360404,0.07973749,-0.5005493,-0.23432675,-0.27489716,0.76879853,-0.3827391,-0.16563699,0.22104415,-0.039114643,-0.22565036,-0.6874596,-0.5160101,0.17928664,0.14986037,0.8431637,-0.90124166,0.4672401,0.7405596,1.0816483,-0.32860494,0.1433056,-0.7397797,-0.060145084,0.38926774,0.2141284,-0.35831493,0.0024058446,-0.42928284,0.3441743,1.0
Backdoor.Graybird-16dc33ad95a90a03f9489182cf6061392a79cbaf96cceb87bd3c6c664daff4a3,0.20449327,-0.35996982,0.034794983,0.2926061,0.28745526,0.15199615,-0.16566963,-0.33541885,-0.24737383,-0.18602748,-0.29179242,-0.13712688,0.9584849,-0.044111196,0.26443473,0.19145705,-0.38843524,-0.2628088,-0.28370863,0.41973117,0.12896572,0.42723265,-0.27949587,0.19081952,-0.54981005,-0.12889506,-0.20414977,0.29652834,-1.161818,0.5220288,-0.06571489,-0.1124996,-0.34459138,0.5058447,0.4047323,-0.16187379,1.0
Backdoor.Graybird-16dc7da8aef050616f3d99fd34b3f0410ce6a38f5a61c9ebc8e86e87195c4be3,0.16360202,-0.53185725,0.27944294,-0.18494181,-0.13989103,-0.020296063,-0.36255786,-0.2521049,-0.29699847,1.0068065,-0.059149873,0.38528177,-0.17582326,-0.14731246,0.41827434,-0.27854857,-0.32370818,0.26674512,0.05971361,0.5265075,0.30279243,0.26461074,-0.55508024,0.89646196,-0.1735074,-0.046885747,-0.035872653,-0.28198156,-1.24706,0.48151094,0.38418937,-0.12928696,-0.02543414,0.032752004,-0.28295803,0.17312379,1.0
Backdoor.Graybird-1966b6b19ef74c24f458b6477ccb7e8c8427df6d65ea4dc5e0bffb811fbba2d7,-0.06698559,-0.5837694,-0.5271934,0.29433575,0.07569357,-0.34308586,0.67343634,0.17728934,0.31601915,0.2047995,-0.39388382,0.64731944,0.7126384,0.3289646,0.30532205,0.5828141,0.13448986,0.028125467,-0.31765324,-0.3039023,0.22773895,0.35376123,-1.0498397,-0.42533275,0.62720996,-0.31115967,0.34377375,0.5350456,-0.9253719,-0.26858008,0.30830142,0.097294815,-0.7778456,-0.41624427,0.8031728,0.048739746,1.0
Backdoor.Graybird-1c7dfb9affef8bef118a41d36e3e8c413f3076918a8821efeb3721af52ee5c52,0.40296423,-0.4840162,-0.2654008,-0.15008518,0.077602185,0.05207447,0.048294768,0.025611369,0.028575286,0.4549368,0.2937308,-0.37178633,0.19058873,0.29829013,0.7572918,-0.46248415,-0.04816593,-0.026057096,-0.6323565,-0.2956658,-0.46657085,0.40212798,-0.6485008,0.1528609,0.43369058,-0.052597318,-0.33891076,-0.15736106,-0.62010574,-0.69489515,-0.2033671,0.5747222,-0.045990884,-0.6126097,0.3513525,0.76902217,1.0
Backdoor.Graybird-1cb523870e23e55d0d36af5a2e10472ac25390d3838c52c35b1106034132aad5,0.24678072,-0.32458338,-0.026909225,-0.083739914,-0.043356754,0.38885581,0.1203715,-0.37090445,0.07600469,0.5217079,-0.35399565,0.60166276,0.20204362,0.27373803,0.41969085,0.07174854,-0.67762256,-0.052458614,0.33533004,-0.09310029,-0.1396133,0.32235268,0.21057163,0.050859068,0.47340596,0.68037945,0.47193488,-0.085959844,-0.9162437,0.3599859,0.47447592,-0.30140853,-0.24453473,-0.21176937,0.13119331,0.26832178,1.0
Backdoor.Graybird-1d17564930dc9cfdb8bf4483ba9763d17dd3f549facfdbe21ad18447663adedd,0.09225607,-0.02307648,-0.118071094,0.27544758,0.17368706,-0.28438064,-0.4850251,-0.12910935,-0.5178846,0.3570733,0.048033666,0.05193248,0.063505456,-0.23509167,0.50189793,0.38703245,-0.6761963,-0.404242,0.21417859,0.5878656,0.38971007,0.54568875,-0.9945415,0.20605165,0.26454198,-0.07104882,-0.31083494,0.1316825,-0.6099265,-0.44228104,0.2710298,-0.45385438,-0.0845442,0.00728726,-0.6379187,0.7089962,1.0
Backdoor.Graybird-1d2b95795f54a30db2241b441843c8baa1319704e0bd48f022ac919e71899787,0.038877416,0.12897784,-0.5337569,-0.13110885,0.7511223,0.32358164,-0.13737065,0.32321116,0.13161582,-0.011537696,0.3014252,-0.38335288,-0.10992239,0.3477151,1.0055665,0.03697543,-0.09261536,-0.21078074,0.08967586,0.059855904,-0.02999904,0.42719746,-0.31851333,-0.30027145,0.051078513,-0.021316137,0.114322044,-0.44339404,-0.350286,-0.32565314,-0.08449468,0.10734606,-0.18003902,-0.48646316,0.38215,0.68485373,1.0
Backdoor.Graybird-1f987748aa836fcff784691f0f5195eaed0187c12906f016b7bbad1f9b10d20a,0.34241936,-0.35130638,0.36169142,0.09749875,0.2082401,-0.35039514,0.3402632,-0.06375462,-0.13238193,0.16733046,-0.07806345,0.2259045,0.83599824,0.10682597,0.5753825,0.34928817,-0.43403277,-0.008165696,-0.33910874,0.21129777,0.11345847,0.7002495,-0.69827116,-0.59390014,-0.11832371,0.4782221,-0.2865698,0.59497046,-0.7863855,0.3063115,-0.13496168,0.1167137,0.124774165,-0.15463771,-0.18770193,0.6620719,1.0
Backdoor.Graybird-1fe3c46136004caa9f4598dbd12db50b539bc0e44de422870a0150ccdf6c4297,0.091977455,-0.16598123,-0.16361494,0.4876269,0.45150983,0.032378834,0.262116,0.1389205,-0.24635105,0.20421463,0.05429078,0.0143281175,-0.15098147,0.069484964,0.59091973,0.18859838,-0.57357347,-0.72504896,0.32659355,0.8827218,0.5568236,0.800723,-0.8757873,0.32170302,0.25619775,0.0022813405,-0.2561938,0.23355368,-0.52026933,-0.070541695,0.4159399,-0.18960942,-0.04539132,0.07362664,-0.57062453,1.1568928,1.0
